iter	MultiClass
0	2.806546664
1	2.740206338
2	2.685687872
3	2.643611646
4	2.602691488
5	2.566132005
6	2.538786314
7	2.512384534
8	2.485226917
9	2.459383491
10	2.437630129
11	2.417242167
12	2.397672599
13	2.375565362
14	2.35495868
15	2.339271037
16	2.322544608
17	2.30732356
18	2.291234317
19	2.276139563
20	2.26405118
21	2.249299775
22	2.236855484
23	2.223829189
24	2.213367358
25	2.20337003
26	2.193081124
27	2.183174675
28	2.173023751
29	2.166306365
30	2.15704087
31	2.148015133
32	2.140434502
33	2.132485388
34	2.124723217
35	2.11913009
36	2.1104714
37	2.105555022
38	2.098426093
39	2.091926409
40	2.08642498
41	2.080303577
42	2.074272348
43	2.068046133
44	2.063436334
45	2.056843677
46	2.051734736
47	2.047856809
48	2.045196817
49	2.041731124
50	2.035188881
51	2.030755107
52	2.025762929
53	2.021162335
54	2.016926599
55	2.011530758
56	2.007115801
57	2.003677476
58	1.999251893
59	1.99535643
60	1.992879591
61	1.989699182
62	1.985439769
63	1.983248249
64	1.98035349
65	1.976740719
66	1.975913158
67	1.973529049
68	1.972394567
69	1.970631538
70	1.965539962
71	1.961097083
72	1.955810908
73	1.953570011
74	1.94818682
75	1.945137594
76	1.939655671
77	1.934807676
78	1.933793203
79	1.928935741
80	1.927034265
81	1.925563276
82	1.922000555
83	1.919178983
84	1.915180294
85	1.909753953
86	1.904935182
87	1.899827275
88	1.896663068
89	1.893155842
90	1.890536755
91	1.888145493
92	1.885482722
93	1.881760026
94	1.878430121
95	1.874510461
96	1.872384211
97	1.869565516
98	1.866844067
99	1.862205233
100	1.859137069
101	1.853481374
102	1.84971057
103	1.845916406
104	1.840945399
105	1.83522102
106	1.832083034
107	1.830318009
108	1.825926404
109	1.822904158
110	1.818406378
111	1.816294382
112	1.815507904
113	1.811551222
114	1.810008037
115	1.807375565
116	1.802295984
117	1.800187643
118	1.795749474
119	1.790917961
120	1.788044426
121	1.786973928
122	1.781439256
123	1.779918783
124	1.778255273
125	1.775640344
126	1.773779712
127	1.770952029
128	1.76662768
129	1.762216167
130	1.758736221
131	1.757748334
132	1.756484934
133	1.753909021
134	1.750632674
135	1.74741321
136	1.746313806
137	1.743839641
138	1.742852892
139	1.740204063
140	1.738892742
141	1.735692469
142	1.734946738
143	1.732959812
144	1.730334443
145	1.728086655
146	1.725783556
147	1.725774477
148	1.722742221
149	1.720233017
150	1.71913648
151	1.71765239
152	1.713866839
153	1.711018271
154	1.708962116
155	1.705122028
156	1.704321996
157	1.701142694
158	1.700766789
159	1.699908553
160	1.699044042
161	1.696155497
162	1.693066191
163	1.693045269
164	1.690329312
165	1.689510927
166	1.687395109
167	1.686716148
168	1.686015557
169	1.684332754
170	1.683355433
171	1.681467185
172	1.679924388
173	1.678725407
174	1.676818797
175	1.673529484
176	1.67083092
177	1.66939027
178	1.668697976
179	1.664925279
180	1.661597714
181	1.659676463
182	1.656975857
183	1.655854965
184	1.652759057
185	1.651606301
186	1.650001512
187	1.649996456
188	1.648116644
189	1.646174354
190	1.644146409
191	1.642850257
192	1.641286824
193	1.639303798
194	1.63819308
195	1.634968626
196	1.63321228
197	1.629961038
198	1.627477121
199	1.626373838
200	1.624523815
201	1.623865468
202	1.622524435
203	1.620136732
204	1.618630902
205	1.617436752
206	1.615880061
207	1.614342477
208	1.612099576
209	1.61131303
210	1.608908269
211	1.6079223
212	1.606392907
213	1.604379798
214	1.601989158
215	1.599309084
216	1.597673663
217	1.59692994
218	1.595516085
219	1.594571978
220	1.592019308
221	1.590982295
222	1.589000921
223	1.588035092
