iter	Passed	Remaining
0	343	171272
1	658	163994
2	991	164182
3	1206	149601
4	1656	163990
5	2102	173095
6	2603	183373
7	3016	185523
8	3449	188204
9	3914	191793
10	4335	192724
11	4810	195637
12	5340	200049
13	5777	200572
14	6219	201085
15	6735	203739
16	7265	206427
17	7740	207279
18	8220	208105
19	8760	210262
20	9205	209979
21	9664	209980
22	10116	209800
23	10604	210330
24	11052	209989
25	11628	211995
26	12043	210987
27	12459	210039
28	12892	209397
29	13319	208667
30	13787	208597
31	14235	208193
32	14764	208934
33	15217	208566
34	15745	209189
35	16257	209540
36	16797	210195
37	17322	210607
38	17769	210040
39	18262	210021
40	18867	211224
41	19376	211296
42	19912	211631
43	20424	211670
44	20853	210855
45	21379	211004
46	21983	211881
47	22495	211832
48	23008	211767
49	23554	211991
50	24056	211790
51	24529	211331
52	25031	211113
53	25624	211643
54	26137	211473
55	26692	211632
56	27132	210874
57	27699	211087
58	28319	211676
59	28904	211968
60	29446	211916
61	30026	212123
62	30480	211425
63	30877	210349
64	31416	210249
65	31835	209340
66	31935	206387
67	32328	205380
68	32742	204520
69	33258	204299
70	33738	203859
71	34271	203725
72	34811	203624
73	35255	202956
74	35767	202683
75	36363	202867
76	36836	202359
77	37396	202325
78	37848	201701
79	38420	201705
80	38995	201719
81	39502	201366
82	39940	200666
83	40393	200045
84	40957	199967
85	41393	199264
86	41956	199171
87	42475	198863
88	42945	198320
89	43460	197988
90	44009	197799
91	44535	197503
92	45038	197104
93	45515	196586
94	45979	196017
95	46434	195410
96	46853	194659
97	47286	193972
98	47786	193558
99	48225	192902
100	48746	192573
101	49233	192106
102	49836	192087
103	50274	191429
104	50793	191080
105	51225	190405
106	51734	190014
107	52356	190033
108	52925	189852
109	53551	189864
110	54173	189849
111	54728	189596
112	55156	188898
113	55773	188847
114	56358	188676
115	56949	188523
116	57533	188334
117	58179	188342
118	58679	187874
119	59338	187906
120	59942	187752
121	60606	187782
122	61243	187712
123	61786	187354
124	62402	187207
125	62965	186896
126	63531	186591
127	64133	186389
128	64683	186028
129	65186	185529
130	65721	185123
131	66311	184869
132	66869	184520
133	67393	184074
134	67945	183704
135	68443	183187
136	69001	182827
137	69479	182257
138	69987	181766
139	70520	181338
140	71184	181243
141	71737	180860
142	72255	180386
143	72781	179932
144	73333	179540
145	73880	179135
146	74438	178753
147	74504	177199
148	75146	177022
149	75741	176729
150	76305	176361
151	76944	176163
152	77611	176020
153	78132	175545
154	78658	175079
155	79275	174812
156	79777	174291
157	80285	173783
158	80849	173393
159	81498	173184
160	82045	172753
161	82586	172310
162	83155	171922
163	83218	170496
164	83714	169966
165	84202	169419
166	84737	168968
167	85225	168421
168	85674	167800
169	86100	167135
170	86661	166735
171	87064	166030
172	87567	165517
173	88090	165043
174	88565	164478
175	88999	163840
176	89427	163192
177	89964	162744
178	90406	162125
179	90905	161609
180	91376	161044
181	91928	160623
182	92503	160238
183	92884	159518
184	93313	158885
185	93792	158338
186	94263	157777
187	94324	156538
188	94766	155938
189	95266	155434
190	95817	155014
191	96285	154457
192	96726	153861
193	97200	153316
194	97674	152773
195	98130	152201
196	98576	151618
197	99123	151188
198	99704	150809
199	100138	150207
200	100646	149718
201	101087	149128
202	101565	148596
203	101978	147968
204	102487	147481
205	102929	146900
206	103445	146422
207	103929	145900
208	104421	145391
209	104820	144751
210	105352	144298
211	105832	143772
212	106360	143312
213	106849	142798
214	107262	142185
215	107702	141608
216	108232	141151
217	108647	140543
218	109165	140071
219	109697	139614
220	110203	139125
221	110766	138707
222	111153	138069
223	111748	137690
